1	Corn	1
2	Green Beans	2
4	Toilet Paper	52
5	Baby Products	52
6	House/Cleaning Supplies	52
7	Paper Towels	52
8	Personal Care Items	52
9	Pet Supplies	52
11	Beets	54
12	Carrots	54
13	Mixed Veggies	54
14	Other Veggies	54
15	Peas	54
16	Spinach	54
17	Crushed Tomatoes	25
18	Diced Tomatoes	25
19	Stewed Tomatoes	25
20	Whole Tomatoes	25
21	Spaghetti Sauce	25
22	Tomato Sauce	25
23	Tomato Paste	25
24	Vegetable Soup	6
25	Vegetarian Vegetable Soup	6
26	Vegetable Beef Soup	6
27	Tomato Soup	3
28	Misc Soup	6
30	Dry Soup	6
31	Cream of Potato Soup	22
32	Cream of Mushroom Soup	22
33	Cream of Celery Soup	22
34	Cream Chicken Soup	22
35	Clam Chower	6
36	Chicken and Stars	6
37	Bean Soup	6
38	Broth	6
39	Snacks	19
40	Boxed Pasta	50
42	Helpers	50
43	Mac & Cheese	50
45	Noodles	50
46	Pasta Sides	50
47	Ramen Noodles	50
48	Rice	50
49	Rice Sides	50
50	Spaghetti	50
51	Stuffing	50
52	Beef Stew	26
41	Canned Pasta	50
53	Canned Chicken	26
54	Chili	26
55	Sloppy Joe	26
56	Tuna	26
57	Other Meat	26
58	Applesauce	40
59	Cranberry Sauce	40
60	Mixed Fruit	40
61	Oranges	40
62	Other Fruit	40
63	Peaches	40
65	Pears	40
66	BBQ	32
67	Jelly	32
68	Ketchup	32
69	Mustard	32
70	Peanut Butter	32
71	Salad Dressing	32
72	Syrup	32
73	Vegetable Oil	32
74	Vinegar	32
75	Cereal	33
76	Breakfast Food (Not Cereal)	33
78	Coffee	20
79	Juice	20
80	Tea	20
81	Other Beverage	20
82	Baked Beans	49
83	Black Beans	49
84	Black-Eyed Peas	49
85	Dry Beans	49
86	Garbanzo Beans	49
87	Kidney Beans	49
88	Misc Beans	49
89	Pinto Beans	49
90	Baking Ingredients	11
91	Bread Mixes	11
92	Cake Mix/Brownies	11
93	Dessert Mixes	11
94	Jello/Pudding	11
95	Pancake Mix	11
96	Pumpkin	11
97	Baking Other	11
98	Chk Ndl Soup	4
99	Hash	26
100	Canned Potatoes	36
101	Boxed Potatoes	36
102	Sweet Potatoes	36
103	Soup Kitchen	53
104	Other	47
29	Misc Cream Soup	22
105	Chicken & Rice	6
106	Other Condiment	32
108	Pork and Beans	49
